ags;municipality;state;ags_source
12072340;Rangsdorf;Brandenburg;local_cities_components
07143062;Ransbach-Baumbach;Rheinland-Pfalz;local_cities_components
08216043;Rastatt;Baden-Württemberg;local_cities_components
08436064;Ravensburg;Baden-Württemberg;local_cities_components
05562032;Recklinghausen;Nordrhein-Westfalen;manual_2024_reference
09362000;Regensburg;Bayern;manual_2024_reference
14524250;Reinsdorf;Sachsen;local_cities_components
05120000;Remscheid;Nordrhein-Westfalen;manual_2024_reference
08415061;Reutlingen;Baden-Württemberg;local_cities_components
10041517;Riegelsberg;Saarland;local_cities_components
14522490;Rochlitz;Sachsen;local_cities_components
13003000;Rostock;Mecklenburg-Vorpommern;local_cities_components
16073077;Saalfeld (Saale);Thüringen;local_cities_components
10041100;Saarbruecken;Saarland;manual_2024_reference
10044116;Saarwellingen;Saarland;local_cities_components
03102000;Salzgitter;Niedersachsen;manual_2024_reference
15081455;Salzwedel;Sachsen-Anhalt;local_cities_components
08226076;Sandhausen;Baden-Württemberg;local_cities_components
15087370;Sangerhausen;Sachsen-Anhalt;local_cities_components
16075098;Schleiz;Thüringen;local_cities_components
12060198;Schorfheide;Brandenburg;local_cities_components
13072095;Schwaan;Mecklenburg-Vorpommern;local_cities_components
13004000;Schwerin;Mecklenburg-Vorpommern;local_cities_components
08136065;Schwäbisch Gmünd;Baden-Württemberg;local_cities_components
12064448;Seelow;Brandenburg;local_cities_components
05970040;Siegen;Nordrhein-Westfalen;manual_2024_reference
08437104;Sigmaringen;Baden-Württemberg;local_cities_components
08115045;Sindelfingen;Baden-Württemberg;local_cities_components
05122000;Solingen;Nordrhein-Westfalen;manual_2024_reference
16072018;Sonneberg;Thüringen;local_cities_components
07318000;Speyer;Rheinland-Pfalz;local_cities_components
13071142;Stavenhagen (Reuterstadt);Mecklenburg-Vorpommern;local_cities_components
15089310;Staßfurt;Sachsen-Anhalt;local_cities_components
08335077;Steißlingen;Baden-Württemberg;local_cities_components
13073088;Stralsund;Mecklenburg-Vorpommern;local_cities_components
08111000;Stuttgart;Baden-Württemberg;local_cities_components
08325057;Sulz am Neckar;Baden-Württemberg;local_cities_components
13073090;Sundhagen;Mecklenburg-Vorpommern;local_cities_components
16068051;Sömmerda;Thüringen;local_cities_components
15090550;Tangermünde;Sachsen-Anhalt;local_cities_components
10046118;Tholey;Saarland;local_cities_components
07231124;Traben-Trarbach;Rheinland-Pfalz;local_cities_components
07211000;Trier;Rheinland-Pfalz;local_cities_components
08416041;Tübingen;Baden-Württemberg;local_cities_components
08421000;Ulm;Baden-Württemberg;local_cities_components
08326074;Villingen-Schwenningen;Baden-Württemberg;local_cities_components
10041519;Völklingen;Saarland;local_cities_components
08215106;Waghäusel;Baden-Württemberg;local_cities_components
08119079;Waiblingen;Baden-Württemberg;local_cities_components
10044121;Wallerfangen;Saarland;local_cities_components
13071156;Waren (Müritz);Mecklenburg-Vorpommern;local_cities_components
16055000;Weimar;Thüringen;local_cities_components
14627310;Weinböhla;Sachsen;local_cities_components
10042117;Weiskirchen;Saarland;local_cities_components
15084550;Weißenfels;Sachsen-Anhalt;local_cities_components
14626600;Weißwasser;Sachsen;local_cities_components
15088216;Wettin-Löbejün;Sachsen-Anhalt;local_cities_components
06414000;Wiesbaden;Hessen;manual_2024_reference
03405000;Wilhelmshaven;Niedersachsen;manual_2024_reference
07333503;Winnweiler;Rheinland-Pfalz;local_cities_components
03103000;Wolfsburg;Niedersachsen;manual_2024_reference
07319000;Worms;Rheinland-Pfalz;local_cities_components
09663000;Wuerzburg;Bayern;manual_2024_reference
05124000;Wuppertal;Nordrhein-Westfalen;manual_2024_reference
12063357;Wustermark;Brandenburg;local_cities_components
16063092;Wutha-Farnroda;Thüringen;local_cities_components
07334501;Wörth am Rhein;Rheinland-Pfalz;local_cities_components
13076159;Zarrentin am Schaalsee;Mecklenburg-Vorpommern;local_cities_components
15082430;Zerbst;Sachsen-Anhalt;local_cities_components
12072477;Zossen;Brandenburg;local_cities_components
14521700;Zschorlau;Sachsen;local_cities_components
07320000;Zweibrücken;Rheinland-Pfalz;local_cities_components
14524330;Zwickau;Sachsen;local_cities_components
